company_id,year,previous_pattern,current_pattern
SHRIRAMFIN,Mar 2018,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,Mar 2019,Distress Signal,Growth Funded by Debt
SHRIRAMFIN,Mar 2023,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,Mar 2024,Distress Signal,Growth Funded by Debt
SIEMENS,Sep 2018,Liquidating Assets,Reinvestor
SIEMENS,Sep 2019,Reinvestor,Shareholder Returns
SIEMENS,Sep 2020,Shareholder Returns,Liquidating Assets
SIEMENS,Sep 2021,Liquidating Assets,Shareholder Returns
SIEMENS,Sep 2022,Shareholder Returns,Reinvestor
SUNPHARMA,Mar 2014,Reinvestor,Mixed
SUNPHARMA,Mar 2015,Mixed,Shareholder Returns
SUNPHARMA,Mar 2017,Shareholder Returns,Reinvestor
SUNPHARMA,Mar 2018,Reinvestor,Shareholder Returns
